seed,dataset,model,region,n,M,r2,mae
13,2017 European,Dynamic ET,all,1700,8,-0.35406035968949356,0.1278452706058822
13,2017 European,Dynamic ET,OTM,412,8,0.11869874739967001,0.10557411924757269
13,2017 European,Dynamic ET,ATM,772,8,-0.8208050945397454,0.13470021260362688
13,2017 European,Dynamic ET,ITM,494,8,-0.35247651384809786,0.13529359040485794
13,2017 European,ET-aug,all,1700,8,-0.46862872177686676,0.13237800277058803
13,2017 European,ET-aug,OTM,412,8,0.04913776918544521,0.10954931317961146
13,2017 European,ET-aug,ATM,772,8,-1.0112172794775978,0.14059569954663206
13,2017 European,ET-aug,ITM,494,8,-0.4342937153900248,0.1385584925910927
13,2017 European,ET,all,1700,8,-0.5639321659327245,0.13498847082941157
13,2017 European,ET,OTM,412,8,0.015395398425328444,0.10793383837378619
13,2017 European,ET,ATM,772,8,-1.1239579909110011,0.14186158344559574
13,2017 European,ET,ITM,494,8,-0.5716914613892243,0.14675242585020215
13,2017 European,RF,all,1700,8,-0.7017137704889338,0.1372111707637724
13,2017 European,RF,OTM,412,8,-0.11258233304145682,0.1082081680856494
13,2017 European,RF,ATM,772,8,-1.265899274577451,0.1438205925649472
13,2017 European,RF,ITM,494,8,-0.736380145267036,0.15165200930616543
13,"12,110 American",Dynamic ET,all,11563,8,-0.12996027670569799,0.14407046786837324
13,"12,110 American",Dynamic ET,deep OTM,2524,8,0.04046299562161204,0.1390914767111729
13,"12,110 American",Dynamic ET,OTM,1812,8,-0.15271157906368926,0.1260744305634658
13,"12,110 American",Dynamic ET,ATM,1934,8,-0.4926641057644867,0.12163917166701146
13,"12,110 American",Dynamic ET,ITM,1586,8,-0.28445120838112015,0.1260963861986127
13,"12,110 American",Dynamic ET,deep ITM,3707,8,-0.5956398531919831,0.17564986189560275
13,"12,110 American",ET-aug,all,11563,8,-0.1935281878676398,0.1471066008464931
13,"12,110 American",ET-aug,deep OTM,2524,8,-0.009534867256970836,0.14207804282448502
13,"12,110 American",ET-aug,OTM,1812,8,-0.2525205780648465,0.12952630969039738
13,"12,110 American",ET-aug,ATM,1934,8,-0.6683163150465683,0.12839590923991742
13,"12,110 American",ET-aug,ITM,1586,8,-0.37496078582192727,0.13063695316078167
13,"12,110 American",ET-aug,deep ITM,3707,8,-0.6430070428170045,0.1759317712859454
13,"12,110 American",ET,all,11563,8,-0.19104113203719186,0.14624277780264647
13,"12,110 American",ET,deep OTM,2524,8,0.009227994493751779,0.14032810240927107
13,"12,110 American",ET,OTM,1812,8,-0.36946929911923476,0.13288300297406194
13,"12,110 American",ET,ATM,1934,8,-0.9077270176372358,0.13430635928128248
13,"12,110 American",ET,ITM,1586,8,-0.5008834613781707,0.13636585134489265
13,"12,110 American",ET,deep ITM,3707,8,-0.4987779603191811,0.16725340404073386
13,"12,110 American",RF,all,11563,8,-0.4753819679610991,0.15629521129311902
13,"12,110 American",RF,deep OTM,2524,8,-0.14876801028451703,0.14762738709235126
13,"12,110 American",RF,OTM,1812,8,-1.0695048989968168,0.14942105132451278
